Scenario,Distribution,Target_Skewness,Target_ExcessKurtosis,Achieved_Skewness,Achieved_ExcessKurtosis,Lambda,L,Method,Shift_Size,ARL1,SDRL1,MRL1
Skewness,Skew-Normal,1,NA,0.981644327,0.81555321,0.1,2.6952,EWMA,0.75,15.922,13.04409947,12
Skewness,Skew-Normal,1,NA,0.971779191,0.802616606,0.1,2.6952,WV,0.75,13.8103,10.31158314,11
Skewness,Skew-Normal,1,NA,1.009130279,0.933498631,0.1,2.6952,WSD,0.75,12.0614,8.902918411,10
Skewness,Skew-Normal,1,NA,1.007287511,0.844663657,0.1,2.6952,SC,0.75,38.6804,58.06373219,25
Skewness,Skew-Normal,1,NA,0.994162528,0.900264119,0.2,2.8537,EWMA,0.75,17.5302,18.04841994,12
Skewness,Skew-Normal,1,NA,0.998562278,0.932884751,0.2,2.8537,WV,0.75,14.4489,14.20532182,10
Skewness,Skew-Normal,1,NA,1.011660659,0.893941418,0.2,2.8537,WSD,0.75,11.6097,10.27615326,9
Skewness,Skew-Normal,1,NA,0.973015366,0.757323734,0.2,2.8537,SC,0.75,65.3428,129.6588671,31
Skewness,Skew-Normal,1,NA,0.990201928,0.863262999,0.3,2.9286,EWMA,0.75,19.6441,24.00899161,13
Skewness,Skew-Normal,1,NA,1.004096047,0.884465234,0.3,2.9286,WV,0.75,15.3636,17.64963303,10
Skewness,Skew-Normal,1,NA,1.019852645,0.955251319,0.3,2.9286,WSD,0.75,12.1963,11.81456409,9
Skewness,Skew-Normal,1,NA,0.99509305,0.932640658,0.3,2.9286,SC,0.75,95.5116,172.9390542,42
Skewness,Skew-Normal,1,NA,0.954161778,0.658173618,0.1,2.6952,EWMA,1,10.005,6.056586764,9
Skewness,Skew-Normal,1,NA,0.96897787,0.750212707,0.1,2.6952,WV,1,8.9583,5.146378302,8
Skewness,Skew-Normal,1,NA,0.985397657,0.869272558,0.1,2.6952,WSD,1,8.1155,4.572532182,7
Skewness,Skew-Normal,1,NA,0.988093833,0.86402331,0.1,2.6952,SC,1,19.008,15.64278766,15
Skewness,Skew-Normal,1,NA,1.002497493,0.844946856,0.2,2.8537,EWMA,1,10.1357,8.19640187,8
Skewness,Skew-Normal,1,NA,1.013738076,0.879420347,0.2,2.8537,WV,1,8.6758,6.438310302,7
Skewness,Skew-Normal,1,NA,1.01429639,0.95580668,0.2,2.8537,WSD,1,7.459,5.524633124,6
Skewness,Skew-Normal,1,NA,1.01155075,0.871069846,0.2,2.8537,SC,1,27.5815,34.70912315,17
Skewness,Skew-Normal,1,NA,1.025510204,0.978121008,0.3,2.9286,EWMA,1,11.495,11.64386246,8
Skewness,Skew-Normal,1,NA,1.014759779,0.921423457,0.3,2.9286,WV,1,9.0582,7.945056649,7
Skewness,Skew-Normal,1,NA,0.998205787,0.928503342,0.3,2.9286,WSD,1,7.9351,6.777424388,6
Skewness,Skew-Normal,1,NA,1.003050827,0.927106033,0.3,2.9286,SC,1,41.3931,71.57853394,21
