"Scenario","Distribution","Target_Skewness","Target_ExcessKurtosis","Achieved_Skewness","Achieved_ExcessKurtosis","Lambda","L","Method","Shift_Size","ARL1","SDRL1","MRL1"
"Kurtosis","Skew-Student-t",0.5,6,0.373819636453237,6.32644947195191,0.2,2.8537,"WV",1.5,4.5536,2.151369303255,4
"Kurtosis","Skew-Student-t",0.5,6,0.341406979263408,4.31244093875108,0.2,2.8537,"WSD",1.5,4.5018,2.06751643824716,4
"Kurtosis","Skew-Student-t",0.5,6,0.311716320239952,8.46308714296286,0.2,2.8537,"SC",1.5,5.7381,2.9604365908563,5
"Kurtosis","Skew-Student-t",0.5,6,0.41321376610469,6.99657801935974,0.3,2.9286,"EWMA",1.5,4.736,2.91213874243751,4
"Kurtosis","Skew-Student-t",0.5,6,0.589450663433904,7.09381968858498,0.3,2.9286,"WV",1.5,4.5674,2.6246420926693,4
"Kurtosis","Skew-Student-t",0.5,6,0.151309976118721,6.02952058038096,0.3,2.9286,"WSD",1.5,4.4668,2.64041567551284,4
"Kurtosis","Skew-Student-t",0.5,6,0.402074815808996,4.61715582322649,0.3,2.9286,"SC",1.5,6.4727,4.56040946006434,5
"Kurtosis","Skew-Student-t",0.5,8,0.721511644966963,8.6289617985029,0.1,2.6952,"EWMA",0.25,116.6226,181.048314044737,59
"Kurtosis","Skew-Student-t",0.5,8,0.868747530397673,12.0529987535737,0.1,2.6952,"WV",0.25,109.7575,166.046630324419,56
"Kurtosis","Skew-Student-t",0.5,8,0.441714984014913,4.65272871624787,0.1,2.6952,"WSD",0.25,105.1791,157.443776242371,54
"Kurtosis","Skew-Student-t",0.5,8,0.846818473096256,12.1104848976237,0.1,2.6952,"SC",0.25,187.718,240.492797302862,108
"Kurtosis","Skew-Student-t",0.5,8,0.245997944154894,8.420301294037,0.2,2.8537,"EWMA",0.25,105.7492,144.931873044346,59
"Kurtosis","Skew-Student-t",0.5,8,0.561911067819837,5.06595364142905,0.2,2.8537,"WV",0.25,98.5792,142.021174930969,55
"Kurtosis","Skew-Student-t",0.5,8,0.33429855542645,3.42835680538699,0.2,2.8537,"WSD",0.25,94.5032,127.285286440242,53
